Age,Gender,Income,Credit_Score,Credit_History_Length,Number_of_Existing_Loans,Loan_Amount,Loan_Tenure,Existing_Customer,State,City,LTV_Ratio,Employment_Profile,Profile_Score,Occupation
58,Female,121000,457,519,2,117041,51,No,Kerala,Kochi,88.0317588325264,Salaried,79,Banker
21,Male,11000,722,576,7,45823,187,Yes,West Bengal,Kolkata,48.2481902018896,Self-Employed,99,Business Owner
45,Other,47000,400,409,1,74682,78,No,Delhi,New Delhi,95,Salaried,52,Banker
65,Male,69000,337,398,0,112100,40,No,Rajasthan,Udaipur,71.8411186072279,Freelancer,49,Independent Consultant
30,Male,47000,342,272,0,56224,19,No,Uttar Pradesh,Lucknow,72.3118333838641,Self-Employed,49,Farmer
67,Female,157000,850,438,10,150000,75,Yes,Tamil Nadu,Chennai,62.9664871780866,Salaried,100,Teacher
28,Female,61000,583,412,5,56038,53,No,Uttar Pradesh,Kanpur,73.8612302986748,Salaried,79,Doctor
19,Male,12000,438,69,2,8161,67,No,Maharashtra,Bishanpura,64.0559657808809,Self-Employed,82,Business Owner
57,Male,51000,751,265,8,55626,114,Yes,West Bengal,Kolkata,80.4975919287967,Self-Employed,100,Business Owner
36,Male,32000,300,258,0,150000,118,No,Maharashtra,Nagpur,75.4600459644536,Salaried,59,Banker
64,Male,109000,848,47,9,126298,358,Yes,Telangana,Hyderabad,78.1578990910643,Salaried,99,Civil Servant
68,Male,157000,850,330,10,104552,239,Yes,Delhi,New Delhi,62.0712450142706,Salaried,95,Software Engineer
67,Male,175000,735,282,7,81306,87,Yes,Karnataka,Bishanpura,58.0622663268505,Self-Employed,100,Contractor
47,Male,72000,678,397,6,150000,174,Yes,Telangana,Hyderabad,95,Unemployed,64,NA
21,Female,38000,756,556,8,58060,140,Yes,Gujarat,Dhulagori,72.6713893197873,Salaried,100,Civil Servant
18,Female,43000,696,80,7,150000,229,Yes,Delhi,New Delhi,75.478005668135,Salaried,100,Software Engineer
55,Male,151000,848,284,9,102290,337,Yes,Karnataka,Mysuru,43.9560487157371,Self-Employed,91,Contractor
32,Male,34000,350,73,0,148318,44,No,Gujarat,Surat,95,Self-Employed,26,Shopkeeper
54,Female,142000,777,207,8,150000,312,Yes,Uttar Pradesh,Kanpur,40,Self-Employed,95,Contractor
33,Male,83000,576,339,5,66250,105,No,Uttar Pradesh,Lucknow,60.5238593903833,Salaried,96,Teacher
67,Male,75000,616,453,5,85924,149,No,Delhi,New Delhi,87.0682487825994,Salaried,99,Software Engineer
28,Female,35000,706,166,7,150000,103,Yes,Karnataka,Bengaluru,63.3854439155545,Freelancer,100,Writer
65,Female,111000,656,512,6,82496,334,Yes,Kerala,Thiruvananthapuram,95,Salaried,96,Doctor
47,Female,48000,827,26,9,96213,350,Yes,Kerala,Nellikuppam,65.5943393135207,Self-Employed,100,Shopkeeper
54,Male,35000,660,494,6,93109,104,Yes,Maharashtra,Nagpur,95,Unemployed,71,NA
55,Male,151000,715,212,7,150000,184,Yes,Delhi,New Delhi,63.0142908403599,Salaried,92,Doctor
39,Male,34000,459,176,2,126315,32,No,West Bengal,Kolkata,70.9897177305711,Salaried,97,Teacher
26,Female,70000,387,532,1,102014,31,No,Kerala,Kochi,79.9437065877117,Freelancer,37,Graphic Designer
49,Male,106000,850,354,10,135133,209,Yes,Tamil Nadu,Chennai,76.5398970775569,Salaried,100,Banker
27,Male,51000,569,451,4,53649,74,No,Telangana,Hyderabad,95,Salaried,79,Civil Servant
64,Female,176000,652,85,6,150000,69,Yes,Maharashtra,Pune,76.3420396794317,Salaried,96,Civil Servant
69,Female,127000,470,19,3,150000,73,No,Tamil Nadu,Coimbatore,75.5762263462777,Self-Employed,65,Farmer
59,Male,88000,451,519,2,111376,53,No,Rajasthan,Jaipur,95,Self-Employed,30,Contractor
46,Female,99000,672,606,6,150000,103,Yes,Delhi,New Delhi,50.6193223781311,Self-Employed,95,Contractor
27,Female,22000,300,440,0,53626,26,No,Kerala,Kochi,95,Student,16,Student
30,Male,25000,744,309,8,100270,262,Yes,Uttar Pradesh,Kanpur,82.7924582686577,Salaried,90,Software Engineer
55,Female,48000,317,50,0,77530,99,No,West Bengal,Kolkata,64.3285885880889,Self-Employed,53,Farmer
42,Male,44000,395,142,1,93629,118,No,Kerala,Nellikuppam,51.4785930819597,Salaried,96,Software Engineer
38,Male,74000,612,177,5,132944,283,No,Tamil Nadu,Coimbatore,75.3350591022502,Self-Employed,96,Contractor
50,Male,66000,635,313,6,150000,209,No,Rajasthan,Jaipur,53.1137921648135,Salaried,100,Software Engineer
35,Female,33000,469,258,3,46321,80,No,Maharashtra,Nagpur,95,Salaried,73,Software Engineer
21,Male,16000,302,263,0,38875,63,No,Telangana,Hyderabad,74.7570468545415,Salaried,38,Teacher
60,Female,136000,850,543,10,55574,324,Yes,Kerala,Kochi,50.9068641627902,Salaried,95,Software Engineer
18,Female,43000,850,243,10,140447,234,Yes,Tamil Nadu,Chennai,53.1992801788057,Salaried,100,Civil Servant
19,Male,15000,652,382,6,33493,261,Yes,Telangana,Hyderabad,92.8220142636905,Self-Employed,70,Business Owner
48,Male,55000,843,519,9,116181,157,Yes,Maharashtra,Mumbai,40.8895429061555,Unemployed,93,NA
25,Male,37000,467,211,3,36771,43,No,West Bengal,Kolkata,56.1945008382163,Unemployed,71,NA
21,Female,37000,666,109,6,29208,118,Yes,Uttar Pradesh,Kanpur,80.3725290265248,Salaried,94,Banker
52,Male,134000,473,111,3,150000,39,No,Gujarat,Surat,82.6355795563068,Salaried,68,Civil Servant
43,Female,65000,352,136,0,65491,88,No,Gujarat,Surat,80.7613967637197,Self-Employed,27,Contractor
34,Female,41000,389,365,1,37186,51,No,West Bengal,Bishanpura,95,Salaried,47,Banker
18,Male,40000,826,484,9,118266,228,Yes,Uttar Pradesh,Lucknow,51.0447579727356,Self-Employed,90,Business Owner
18,Female,20000,394,387,1,67981,76,No,Delhi,New Delhi,88.6629691984005,Salaried,29,Teacher
22,Female,58000,575,8,5,110941,46,No,Uttar Pradesh,Lucknow,85.6085985229146,Freelancer,88,Photographer
70,Male,103000,850,183,10,150000,85,Yes,Rajasthan,Jaipur,43.1469968491656,Self-Employed,100,Shopkeeper
46,Male,29000,616,579,5,32834,240,No,Delhi,New Delhi,70.6901710199179,Unemployed,90,NA
52,Male,56000,490,402,3,150000,76,No,Tamil Nadu,Chennai,70.1279936192948,Salaried,75,Software Engineer
51,Male,122000,525,68,4,67729,114,No,Delhi,New Delhi,95,Self-Employed,57,Business Owner
37,Female,31000,534,573,4,99699,37,No,Gujarat,Dhulagori,62.4122873714719,Salaried,100,Civil Servant
42,Male,65000,547,506,4,80605,35,No,West Bengal,Kolkata,62.8803161621454,Salaried,82,Software Engineer
32,Male,77000,777,92,8,92178,335,Yes,Delhi,New Delhi,45.0127748233088,Salaried,100,Civil Servant
27,Female,48000,300,38,0,34015,116,No,Kerala,Kochi,80.4583001603844,Self-Employed,25,Shopkeeper
37,Female,32000,493,316,3,99221,27,No,Kerala,Dhulagori,60.5051580862169,Unemployed,92,NA
25,Female,13000,780,191,8,63017,267,Yes,Kerala,Kochi,40,Self-Employed,91,Business Owner
27,Female,74000,488,368,3,150000,28,No,Gujarat,Ahmedabad,95,Self-Employed,52,Contractor
43,Female,57000,645,201,6,47054,288,No,Delhi,New Delhi,85.5563099021022,Salaried,98,Civil Servant
38,Female,101000,389,384,1,69790,59,No,West Bengal,Kolkata,65.9346593430685,Salaried,63,Doctor
49,Male,117000,470,111,3,121230,73,No,Tamil Nadu,Chennai,84.1270968567911,Self-Employed,66,Contractor
53,Male,49000,541,186,4,91438,44,No,Rajasthan,Jaipur,68.9892438190592,Self-Employed,87,Shopkeeper
28,Other,68000,686,210,7,130145,217,Yes,West Bengal,Kolkata,95,Salaried,81,Doctor
69,Female,77000,765,566,8,150000,252,Yes,Karnataka,Dhulagori,81.8629558990612,Student,99,Student
25,Female,52000,654,225,6,150000,352,Yes,Karnataka,Bengaluru,65.7465285297842,Self-Employed,100,Business Owner
40,Male,24000,436,59,2,19516,102,No,Rajasthan,Jaipur,95,Salaried,30,Doctor
54,Male,61000,622,118,5,150000,109,No,West Bengal,Bishanpura,66.3458796226729,Self-Employed,100,Business Owner
49,Male,118000,567,113,4,69821,75,No,Karnataka,Bengaluru,95,Salaried,93,Teacher
53,Female,111000,488,418,3,71897,74,No,Uttar Pradesh,Lucknow,58.129532953518,Salaried,97,Civil Servant
56,Male,146000,850,535,10,115757,146,Yes,Delhi,New Delhi,62.4047118221886,Self-Employed,100,Contractor
47,Other,67000,720,208,7,130276,311,Yes,Delhi,New Delhi,71.2133138120885,Salaried,93,Civil Servant
18,Male,52000,477,95,3,81576,22,No,Delhi,New Delhi,60.2004261712091,Self-Employed,89,Contractor
37,Male,91000,481,207,3,150000,45,No,Karnataka,Mysuru,93.1645765175989,Self-Employed,61,Shopkeeper
20,Male,59000,802,72,9,150000,152,Yes,Telangana,Hyderabad,78.3078087441681,Unemployed,100,NA
58,Male,79000,836,583,9,150000,99,Yes,Uttar Pradesh,Nellikuppam,60.002762060907,Salaried,100,Banker
26,Male,41000,584,119,5,74292,88,No,Maharashtra,Mumbai,79.4823698213807,Self-Employed,82,Shopkeeper
69,Female,134000,454,535,2,150000,100,No,Telangana,Hyderabad,77.9567237948402,Salaried,68,Teacher
59,Male,60000,575,437,5,121104,54,No,Tamil Nadu,Channarayapatna,61.0154721485446,Freelancer,99,Photographer
39,Male,108000,850,243,10,150000,285,Yes,Kerala,Kochi,40,Salaried,97,Software Engineer
54,Male,46000,765,304,8,142756,300,Yes,Tamil Nadu,Chennai,65.0444657525931,Salaried,100,Teacher
62,Female,80000,557,372,4,110067,46,No,West Bengal,Kolkata,81.9518677118405,Unemployed,75,NA
70,Male,193000,850,27,10,133730,302,Yes,Rajasthan,Udaipur,40,Salaried,95,Software Engineer
58,Other,99000,590,484,5,150000,15,No,West Bengal,Kolkata,69.2778515053312,Student,95,Student
46,Female,132000,409,58,1,150000,92,No,Kerala,Thiruvananthapuram,81.2947281046227,Salaried,39,Software Engineer
65,Female,145000,784,180,8,150000,217,Yes,Telangana,Channarayapatna,80.0757660287082,Salaried,93,Civil Servant
62,Female,168000,850,191,10,110389,91,Yes,Rajasthan,Jaipur,83.7836956902469,Unemployed,100,NA
56,Male,58000,460,421,2,58273,110,No,West Bengal,Kolkata,59.0249248917536,Self-Employed,82,Business Owner
57,Female,31000,615,499,5,70426,246,No,Tamil Nadu,Chennai,86.7894930232239,Self-Employed,80,Shopkeeper
35,Female,78000,653,361,6,150000,92,Yes,Maharashtra,Manjari,95,Student,58,Student
66,Female,91000,429,256,2,124118,94,No,West Bengal,Kolkata,57.6879431428664,Self-Employed,77,Business Owner
41,Female,29000,433,594,2,134207,112,No,Karnataka,Bengaluru,95,Self-Employed,59,Business Owner
57,Male,111000,710,95,7,150000,215,Yes,Telangana,Hyderabad,67.9680695032843,Salaried,92,Teacher
29,Male,47000,511,311,3,85939,119,No,Karnataka,Bengaluru,59.1283926179228,Salaried,91,Banker
27,Female,67000,433,106,2,150000,21,No,Telangana,Hyderabad,95,Salaried,46,Banker
51,Female,121000,550,371,4,88720,37,No,Karnataka,Channarayapatna,87.4573115088418,Freelancer,74,Graphic Designer
33,Female,94000,721,510,7,67931,179,Yes,Kerala,Manjari,59.0219124567578,Self-Employed,92,Shopkeeper
33,Male,21000,302,610,0,63202,63,No,Karnataka,Mysuru,76.7233430633888,Salaried,61,Software Engineer
69,Male,182000,616,380,5,70818,125,No,Karnataka,Bishanpura,72.2416319108239,Self-Employed,79,Contractor
35,Female,60000,622,185,5,150000,174,No,Tamil Nadu,Chennai,55.7085885818515,Self-Employed,90,Contractor
19,Male,42000,828,507,9,150000,293,Yes,Kerala,Thiruvananthapuram,51.919597865999,Salaried,94,Civil Servant
22,Female,15000,554,342,4,36097,69,No,Delhi,New Delhi,67.9803506345922,Self-Employed,99,Farmer
43,Male,23000,369,87,1,61649,42,No,Tamil Nadu,Chennai,95,Unemployed,0,NA
55,Female,78000,446,137,2,150000,64,No,Maharashtra,Pune,95,Unemployed,48,NA
45,Male,105000,559,363,4,92500,23,No,Delhi,New Delhi,95,Self-Employed,57,Farmer
67,Male,47000,350,275,0,43757,81,No,Karnataka,Bengaluru,90.9438870627609,Salaried,49,Teacher
36,Female,105000,689,492,7,99701,181,Yes,Gujarat,Dhulagori,71.2159487740452,Salaried,100,Civil Servant
34,Male,22000,571,291,4,84009,24,No,Tamil Nadu,Chennai,95,Salaried,78,Civil Servant
69,Male,185000,410,289,2,150000,71,No,Telangana,Hyderabad,94.0736859616386,Self-Employed,41,Shopkeeper
63,Male,32000,804,381,9,116882,150,Yes,Gujarat,Surat,51.2615481765878,Salaried,97,Civil Servant
29,Female,61000,340,38,0,150000,34,No,Rajasthan,Jaipur,94.2887296628214,Student,1,Student
52,Female,52000,489,200,3,58808,38,No,Tamil Nadu,Coimbatore,68.1296854687918,Self-Employed,69,Contractor
25,Other,41000,850,468,10,58400,143,Yes,West Bengal,Kolkata,56.3889068631935,Salaried,90,Software Engineer
47,Male,45000,406,231,1,150000,90,No,Telangana,Hyderabad,65.4103863835551,Freelancer,66,Graphic Designer
39,Male,80000,709,592,7,45141,242,Yes,Maharashtra,Mumbai,58.4991910066947,Salaried,98,Software Engineer
43,Female,123000,501,572,3,73650,21,No,Delhi,New Delhi,56.1829099244316,Salaried,90,Doctor
43,Male,78000,443,215,2,150000,99,No,Rajasthan,Jaipur,79.0621709008076,Self-Employed,62,Farmer
60,Male,100000,801,161,9,89968,251,Yes,Maharashtra,Nagpur,42.9333839241724,Self-Employed,93,Farmer
65,Female,187000,825,433,9,150000,284,Yes,Tamil Nadu,Coimbatore,40,Salaried,100,Banker
49,Other,59000,422,352,2,150000,89,No,Kerala,Kochi,62.4264446821304,Salaried,98,Teacher
69,Male,34000,701,269,7,24625,126,Yes,Kerala,Kochi,46.1254724064459,Salaried,95,Civil Servant
57,Female,116000,631,268,6,150000,351,No,Rajasthan,Udaipur,95,Salaried,91,Teacher
19,Female,21000,764,355,8,54675,127,Yes,Rajasthan,Udaipur,55.1872352855128,Salaried,92,Doctor
56,Other,109000,796,68,9,150000,216,Yes,Maharashtra,Bishanpura,67.5635083337236,Salaried,95,Teacher
34,Female,58000,352,217,0,117686,91,No,Tamil Nadu,Manjari,70.4610845814028,Self-Employed,48,Farmer
40,Male,56000,456,388,2,62719,97,No,Tamil Nadu,Chennai,94.377590246615,Self-Employed,52,Shopkeeper
48,Female,29000,612,479,5,64635,354,No,Delhi,Channarayapatna,78.1796879449191,Self-Employed,98,Farmer
37,Other,61000,556,159,4,62375,59,No,West Bengal,Manjari,64.2489904081011,Salaried,100,Software Engineer
21,Female,26000,778,429,8,42920,234,Yes,Delhi,New Delhi,43.9624088593184,Salaried,96,Banker
61,Male,121000,514,270,3,98696,109,No,Maharashtra,Nagpur,90.4172647836188,Salaried,57,Civil Servant
23,Male,39000,394,390,1,150000,23,No,Maharashtra,Nagpur,70.8581497799795,Salaried,78,Doctor
21,Male,17000,409,239,1,79856,37,No,West Bengal,Bishanpura,78.9474812488983,Salaried,43,Teacher
50,Female,48000,465,29,3,63571,90,No,Rajasthan,Jaipur,65.5018300435829,Salaried,84,Software Engineer
63,Female,74000,300,358,0,150000,44,No,Tamil Nadu,Chennai,58.7999476485642,Salaried,77,Teacher
38,Male,56000,300,414,0,138215,42,No,Kerala,Manjari,62.607962526778,Salaried,60,Civil Servant
22,Female,11000,579,307,5,54987,71,No,Maharashtra,Nagpur,90.3849105241575,Salaried,88,Civil Servant
33,Male,68000,366,475,1,88765,40,No,Kerala,Kochi,95,Freelancer,24,Writer
19,Male,33000,658,588,6,86224,91,Yes,Uttar Pradesh,Lucknow,84.2148912950477,Salaried,100,Teacher
46,Female,63000,364,8,1,99215,112,No,Maharashtra,Mumbai,51.5084645501729,Student,57,Student
37,Male,55000,647,407,6,117349,172,No,Maharashtra,Pune,77.0615223486649,Salaried,91,Banker
32,Male,48000,323,508,0,94092,35,No,Tamil Nadu,Chennai,64.2535808337964,Student,23,Student
34,Male,19000,747,256,8,89553,350,Yes,Karnataka,Dhulagori,80.8902917081114,Self-Employed,100,Contractor
52,Male,107000,764,459,8,59968,101,Yes,Karnataka,Bengaluru,47.8106349687161,Salaried,100,Software Engineer
70,Female,78000,645,57,6,46368,291,No,Delhi,New Delhi,79.7384088288035,Salaried,98,Doctor
55,Male,164000,808,587,9,100788,132,Yes,Telangana,Hyderabad,40,Self-Employed,100,Farmer
23,Female,37000,786,267,8,44269,241,Yes,Telangana,Hyderabad,48.8829273556437,Student,100,Student
68,Male,54000,367,46,1,45451,28,No,West Bengal,Kolkata,53.2827160099912,Self-Employed,51,Shopkeeper
51,Female,123000,457,529,2,150000,84,No,Kerala,Dhulagori,81.3633521634712,Salaried,50,Teacher
56,Female,32000,746,516,8,88648,144,Yes,Uttar Pradesh,Manjari,70.9157165379067,Salaried,97,Software Engineer
32,Male,36000,580,342,5,55977,97,No,West Bengal,Kolkata,95,Salaried,58,Civil Servant
66,Female,118000,850,146,10,150000,309,Yes,Tamil Nadu,Coimbatore,56.3431547158234,Salaried,100,Teacher
27,Female,60000,544,492,4,141937,78,No,Maharashtra,Nagpur,81.4298912229613,Self-Employed,57,Business Owner
70,Female,137000,608,481,5,149148,239,No,Tamil Nadu,Chennai,82.0618047041237,Salaried,98,Software Engineer
59,Male,125000,711,168,7,125838,62,Yes,Delhi,Nellikuppam,66.4136822670791,Salaried,100,Banker
18,Female,30000,403,563,1,29589,112,No,Rajasthan,Udaipur,85.1993204509814,Unemployed,23,NA
48,Female,57000,320,367,0,98999,34,No,Telangana,Hyderabad,79.0401179626458,Self-Employed,28,Business Owner
50,Female,100000,503,201,3,150000,48,No,Telangana,Hyderabad,61.6593348368814,Salaried,84,Banker
43,Female,117000,574,460,4,135892,22,No,Rajasthan,Jaipur,88.584611463606,Salaried,69,Teacher
62,Female,68000,300,347,0,108496,73,No,Karnataka,Bengaluru,92.4401955478276,Self-Employed,14,Farmer
20,Male,32000,660,188,6,42708,108,Yes,West Bengal,Kolkata,84.3285242658074,Salaried,100,Civil Servant
51,Male,100000,850,65,10,99991,152,Yes,Telangana,Hyderabad,56.9161133354627,Unemployed,94,NA
36,Female,65000,850,260,10,150000,304,Yes,Telangana,Hyderabad,65.1419140211897,Salaried,91,Teacher
52,Male,44000,568,503,4,72828,30,No,Uttar Pradesh,Nellikuppam,95,Unemployed,55,NA
58,Female,152000,449,238,2,102755,41,No,Uttar Pradesh,Lucknow,59.0196216396535,Self-Employed,63,Farmer
33,Other,53000,302,495,0,142589,110,No,Maharashtra,Mumbai,95,Self-Employed,0,Shopkeeper
22,Male,54000,724,107,7,138313,274,Yes,Gujarat,Ahmedabad,74.8730275491904,Salaried,100,Teacher
62,Female,131000,727,520,7,150000,209,Yes,Maharashtra,Pune,48.3817467859915,Salaried,92,Banker
64,Female,135000,734,44,7,75670,227,Yes,Rajasthan,Udaipur,82.931484958299,Salaried,100,Doctor
54,Female,86000,300,368,0,150000,26,No,Karnataka,Bengaluru,92.1438254329337,Salaried,30,Teacher
24,Male,67000,654,489,6,115024,312,Yes,Uttar Pradesh,Kanpur,95,Salaried,83,Banker
28,Female,51000,322,90,0,28881,53,No,Uttar Pradesh,Lucknow,88.7269577739724,Salaried,24,Banker
23,Male,62000,522,600,4,89315,16,No,Tamil Nadu,Chennai,56.4558898164053,Salaried,97,Banker
41,Female,92000,300,329,0,107367,56,No,Karnataka,Bengaluru,71.1619931098029,Student,44,Student
37,Male,41000,571,253,4,150000,14,No,Delhi,New Delhi,73.728184512345,Self-Employed,71,Farmer
28,Male,21000,788,446,8,56357,63,Yes,Tamil Nadu,Manjari,42.4475615303286,Salaried,100,Doctor
41,Male,51000,388,156,1,131687,20,No,Kerala,Kochi,55.5096977265436,Freelancer,62,Photographer
60,Male,146000,778,135,8,150000,86,Yes,Telangana,Hyderabad,40,Salaried,99,Civil Servant
24,Female,68000,524,132,4,150000,95,No,West Bengal,Kolkata,63.7887270568607,Self-Employed,87,Contractor
56,Female,63000,477,417,3,150000,101,No,Karnataka,Bengaluru,95,Freelancer,27,Writer
46,Male,55000,300,35,0,72000,117,No,Maharashtra,Mumbai,72.5546885376695,Salaried,55,Software Engineer
41,Male,72000,677,35,6,80604,240,Yes,Rajasthan,Udaipur,81.780396171608,Salaried,100,Software Engineer
21,Female,37000,661,243,6,66910,167,Yes,Delhi,New Delhi,68.1266684084914,Salaried,90,Software Engineer
22,Male,11000,516,25,3,53469,83,No,Delhi,New Delhi,69.5336895823775,Self-Employed,73,Shopkeeper
48,Female,50000,328,472,0,125785,48,No,Kerala,Kochi,77.4566014827273,Student,14,Student
19,Female,51000,724,599,7,47604,113,Yes,Kerala,Thiruvananthapuram,40,Salaried,95,Teacher
37,Male,102000,797,538,9,115906,76,Yes,Karnataka,Bengaluru,67.8288069169878,Salaried,91,Software Engineer
50,Female,116000,398,15,1,137034,105,No,Kerala,Kochi,58.267512803101,Salaried,72,Civil Servant
56,Female,28000,564,576,4,42220,118,No,Gujarat,Ahmedabad,86.3362852742618,Salaried,63,Banker
59,Female,46000,577,496,5,51840,82,No,Uttar Pradesh,Lucknow,95,Salaried,58,Doctor
64,Female,88000,850,464,10,127610,70,Yes,West Bengal,Bishanpura,55.3004403009071,Salaried,94,Teacher
70,Other,55000,512,585,3,150000,73,No,Maharashtra,Mumbai,90.5646493217746,Unemployed,54,NA
69,Female,201000,850,341,10,72963,181,Yes,Tamil Nadu,Coimbatore,69.8390643276638,Freelancer,100,Writer
50,Male,104000,578,98,5,150000,94,No,Kerala,Kochi,57.9042311234771,Self-Employed,96,Farmer
28,Female,18000,474,154,3,81076,42,No,West Bengal,Kolkata,85.6132632660998,Salaried,71,Civil Servant
26,Female,68000,427,471,2,65264,114,No,Gujarat,Surat,95,Self-Employed,34,Farmer
18,Other,36000,801,473,9,48041,99,Yes,Maharashtra,Nagpur,48.4002752088021,Self-Employed,100,Farmer
66,Male,184000,850,555,10,150000,336,Yes,Telangana,Hyderabad,61.6610980200116,Self-Employed,95,Contractor
30,Male,64000,530,479,4,35655,50,No,Delhi,New Delhi,89.5848878825702,Self-Employed,44,Business Owner
62,Female,69000,707,147,7,150000,206,Yes,Maharashtra,Nagpur,40,Student,100,Student
33,Female,45000,387,419,1,150000,72,No,Delhi,New Delhi,94.5638673911795,Salaried,28,Banker
19,Male,13000,500,313,3,64102,70,No,Telangana,Hyderabad,95,Salaried,44,Doctor
50,Male,145000,643,41,6,150000,340,No,Delhi,New Delhi,69.9558480014927,Salaried,93,Doctor
61,Other,180000,554,559,4,150000,46,No,Delhi,New Delhi,81.0775104989985,Salaried,84,Civil Servant
18,Female,39000,671,352,6,93942,278,Yes,Rajasthan,Jaipur,80.4631727428659,Student,94,Student
26,Female,30000,507,15,3,17363,14,No,Delhi,New Delhi,94.4415426458898,Self-Employed,61,Farmer
22,Female,34000,448,224,2,29883,45,No,Uttar Pradesh,Lucknow,87.2207086238289,Self-Employed,32,Farmer
26,Female,28000,300,492,0,76871,15,No,Uttar Pradesh,Kanpur,61.2227798979921,Freelancer,47,Writer
32,Female,49000,680,138,6,27732,134,Yes,Maharashtra,Mumbai,74.6386237597427,Salaried,95,Civil Servant
24,Male,48000,309,582,0,150000,12,No,Kerala,Kochi,84.630264443128,Self-Employed,10,Business Owner
37,Male,98000,440,215,2,148331,34,No,Delhi,New Delhi,93.1600935356364,Unemployed,47,NA
40,Female,113000,817,20,9,50337,309,Yes,Uttar Pradesh,Lucknow,75.8389797342923,Salaried,94,Civil Servant
59,Female,34000,796,19,9,150000,92,Yes,Rajasthan,Jaipur,40,Salaried,94,Teacher
32,Female,89000,594,223,5,58619,101,No,Maharashtra,Nagpur,67.5175551212673,Freelancer,89,Graphic Designer
67,Other,36000,623,207,5,150000,237,No,Kerala,Kochi,54.6282448472078,Salaried,100,Banker
46,Female,109000,687,391,7,71551,276,Yes,Maharashtra,Nagpur,85.4281999577283,Salaried,97,Doctor
62,Male,47000,775,445,8,140939,349,Yes,Tamil Nadu,Chennai,40,Freelancer,92,Writer
44,Female,88000,817,188,9,150000,309,Yes,Gujarat,Ahmedabad,71.9736118513522,Self-Employed,92,Business Owner
37,Male,33000,495,67,3,21629,108,No,West Bengal,Kolkata,73.3248912160807,Salaried,73,Teacher
33,Male,31000,588,543,5,59851,110,No,Delhi,New Delhi,78.4758087948087,Self-Employed,90,Business Owner
39,Male,67000,827,284,9,150000,295,Yes,Gujarat,Surat,40,Salaried,100,Teacher
19,Male,32000,574,52,4,59664,18,No,Gujarat,Surat,73.6028986089746,Unemployed,58,NA
70,Female,176000,408,72,1,150000,91,No,Tamil Nadu,Chennai,55.0384229144454,Freelancer,67,Graphic Designer
70,Female,168000,850,198,10,97596,178,Yes,Maharashtra,Nagpur,52.5656908380046,Self-Employed,91,Shopkeeper
26,Male,27000,308,8,0,39304,115,No,West Bengal,Channarayapatna,52.8965137327999,Self-Employed,62,Farmer
57,Female,76000,409,161,1,145041,109,No,West Bengal,Manjari,95,Self-Employed,53,Contractor
70,Female,200000,640,492,6,70782,139,No,Karnataka,Mysuru,95,Self-Employed,67,Business Owner
20,Female,34000,772,206,8,150000,151,Yes,Uttar Pradesh,Kanpur,41.5553443981922,Student,100,Student
32,Male,41000,739,295,7,107889,299,Yes,West Bengal,Kolkata,74.7151334868233,Self-Employed,100,Shopkeeper
70,Male,99000,467,87,3,130845,49,No,Delhi,New Delhi,71.0953015591214,Salaried,75,Doctor
64,Male,135000,734,44,7,75670,227,Yes,Rajasthan,Udaipur,82.931484958299,Salaried,100,Doctor
61,Male,95000,674,590,6,107116,227,Yes,Kerala,Kochi,51.4223022888966,Student,100,Student
53,Male,122000,641,565,6,150000,192,No,Rajasthan,Udaipur,68.4361818161361,Salaried,100,Civil Servant
27,Female,77000,850,412,10,62432,101,Yes,Maharashtra,Pune,48.1592040391656,Salaried,100,Civil Servant
34,Male,88000,300,332,0,82615,102,No,West Bengal,Kolkata,60.6310341630592,Freelancer,40,Writer
20,Female,48000,770,149,8,57921,324,Yes,West Bengal,Kolkata,83.8986249350007,Salaried,99,Teacher
36,Male,100000,436,500,2,150000,28,No,Tamil Nadu,Chennai,83.2464483623145,Self-Employed,47,Farmer
61,Female,126000,765,181,8,150000,84,Yes,Maharashtra,Nagpur,46.2874270327406,Self-Employed,93,Contractor
38,Female,26000,665,47,6,42809,259,Yes,Karnataka,Mysuru,95,Unemployed,58,NA
42,Male,47000,671,332,6,113508,76,Yes,Kerala,Kochi,65.349428697508,Salaried,100,Banker
58,Female,80000,850,116,10,150000,118,Yes,Tamil Nadu,Coimbatore,40,Freelancer,96,Graphic Designer
47,Male,30000,731,141,7,95087,272,Yes,Kerala,Kochi,57.1124482398306,Self-Employed,94,Contractor
24,Male,46000,708,560,7,53101,252,Yes,Uttar Pradesh,Lucknow,63.7734770854503,Salaried,100,Civil Servant
24,Male,31000,685,216,7,148826,205,Yes,Karnataka,Mysuru,57.5923520520592,Salaried,90,Doctor
29,Male,25000,427,459,2,109075,31,No,West Bengal,Kolkata,52.5618775210013,Student,71,Student
61,Male,105000,428,509,2,150000,78,No,Maharashtra,Nagpur,83.3919421638706,Salaried,43,Banker
51,Male,135000,709,516,7,70110,91,Yes,Karnataka,Bengaluru,65.4764320949834,Self-Employed,90,Contractor
42,Female,121000,695,481,7,150000,69,Yes,Rajasthan,Jaipur,76.621753965071,Student,96,Student
22,Female,15000,667,553,6,26000,183,Yes,Kerala,Thiruvananthapuram,51.7421807690761,Student,100,Student
21,Female,55000,768,324,8,104006,191,Yes,Tamil Nadu,Coimbatore,57.3847261444851,Student,100,Student
